RegID,Ayear,Asem,PYS,CourseCode,CourseName,Credits,RegNo,Grade,Dept
2296,2023,1,11,CE101,Engineering Mechanics,4,1397,B,4
2107,2023,1,11,CE101,Engineering Mechanics,4,1108,C,6
3385,2023,1,11,CE101,Engineering Mechanics,4,1320,EX,5
2287,2023,1,11,CE101,Engineering Mechanics,4,1148,C,2
3394,2023,1,11,CE101,Engineering Mechanics,4,1368,EX,8
3412,2023,1,11,CE101,Engineering Mechanics,4,1280,D,5
2665,2023,1,11,CE101,Engineering Mechanics,4,1275,C,5
2818,2023,1,11,CE101,Engineering Mechanics,4,1190,C,5
1981,2023,1,11,CE101,Engineering Mechanics,4,1306,D,6
2269,2023,1,11,CE101,Engineering Mechanics,4,1092,C,4
3430,2023,1,11,CE101,Engineering Mechanics,4,1392,C,7
3439,2023,1,11,CE101,Engineering Mechanics,4,1399,B,6
1891,2023,1,11,CE101,Engineering Mechanics,4,1391,D,3
3745,2023,1,11,CE101,Engineering Mechanics,4,1336,P,3
3448,2023,1,11,CE101,Engineering Mechanics,4,1123,C,6
2089,2023,1,11,CE101,Engineering Mechanics,4,1149,C,2
2251,2023,1,11,CE101,Engineering Mechanics,4,1083,F,6
3466,2023,1,11,CE101,Engineering Mechanics,4,1356,B,3
2566,2023,1,11,CE101,Engineering Mechanics,4,1089,C,6
2242,2023,1,11,CE101,Engineering Mechanics,4,1262,D,2
3583,2023,1,11,CE101,Engineering Mechanics,4,1048,C,5
2233,2023,1,11,CE101,Engineering Mechanics,4,1263,C,6
2809,2023,1,11,CE101,Engineering Mechanics,4,1291,C,7
3520,2023,1,11,CE101,Engineering Mechanics,4,1045,D,1
3502,2023,1,11,CE101,Engineering Mechanics,4,1272,EX,7
2224,2023,1,11,CE101,Engineering Mechanics,4,1250,B,4
2971,2023,1,11,CE101,Engineering Mechanics,4,1056,B,6
2980,2023,1,11,CE101,Engineering Mechanics,4,1281,B,6
2764,2023,1,11,CE101,Engineering Mechanics,4,1381,D,6
2998,2023,1,11,CE101,Engineering Mechanics,4,1311,B,5
2620,2023,1,11,CE101,Engineering Mechanics,4,1129,B,6
3628,2023,1,11,CE101,Engineering Mechanics,4,1403,B,7
2521,2023,1,11,CE101,Engineering Mechanics,4,1293,A,4
3034,2023,1,11,CE101,Engineering Mechanics,4,1153,EX,6
2854,2023,1,11,CE101,Engineering Mechanics,4,1187,C,6
2746,2023,1,11,CE101,Engineering Mechanics,4,1289,P,5
2683,2023,1,11,CE101,Engineering Mechanics,4,1146,C,2
2863,2023,1,11,CE101,Engineering Mechanics,4,1284,B,2
3052,2023,1,11,CE101,Engineering Mechanics,4,1088,A,4
1936,2023,1,11,CE101,Engineering Mechanics,4,1001,D,6
3070,2023,1,11,CE101,Engineering Mechanics,4,1386,B,6
2611,2023,1,11,CE101,Engineering Mechanics,4,1011,B,5
2737,2023,1,11,CE101,Engineering Mechanics,4,1359,D,1
3754,2023,1,11,CE101,Engineering Mechanics,4,1295,D,3
2800,2023,1,11,CE101,Engineering Mechanics,4,1096,C,4
2872,2023,1,11,CE101,Engineering Mechanics,4,1319,D,2
2485,2023,1,11,CE101,Engineering Mechanics,4,1184,B,4
2125,2023,1,11,CE101,Engineering Mechanics,4,1325,F,6
2476,2023,1,11,CE101,Engineering Mechanics,4,1286,A,6
3088,2023,1,11,CE101,Engineering Mechanics,4,1302,B,6
2458,2023,1,11,CE101,Engineering Mechanics,4,1297,B,3
3115,2023,1,11,CE101,Engineering Mechanics,4,1195,C,3
2719,2023,1,11,CE101,Engineering Mechanics,4,1091,C,5
2152,2023,1,11,CE101,Engineering Mechanics,4,1173,D,4
2701,2023,1,11,CE101,Engineering Mechanics,4,1310,B,6
3124,2023,1,11,CE101,Engineering Mechanics,4,1343,B,3
2602,2023,1,11,CE101,Engineering Mechanics,4,1122,C,4
3142,2023,1,11,CE101,Engineering Mechanics,4,1031,EX,4
2710,2023,1,11,CE101,Engineering Mechanics,4,1296,B,3
2440,2023,1,11,CE101,Engineering Mechanics,4,1379,D,3
2431,2023,1,11,CE101,Engineering Mechanics,4,1185,C,5
2890,2023,1,11,CE101,Engineering Mechanics,4,1351,C,4
2899,2023,1,11,CE101,Engineering Mechanics,4,1178,C,3
3691,2023,1,11,CE101,Engineering Mechanics,4,1261,C,3
3574,2023,1,11,CE101,Engineering Mechanics,4,1299,C,5
1999,2023,1,11,CE101,Engineering Mechanics,4,1028,F,8
2836,2023,1,11,CE101,Engineering Mechanics,4,1307,P,2
3601,2023,1,11,CE101,Engineering Mechanics,4,1383,C,5
3214,2023,1,11,CE101,Engineering Mechanics,4,1104,B,7
2791,2023,1,11,CE101,Engineering Mechanics,4,1157,EX,4
1918,2023,1,11,CE101,Engineering Mechanics,4,1276,P,5
2404,2023,1,11,CE101,Engineering Mechanics,4,1215,D,3
2116,2023,1,11,CE101,Engineering Mechanics,4,1404,C,6
3655,2023,1,11,CE101,Engineering Mechanics,4,1210,P,6
3232,2023,1,11,CE101,Engineering Mechanics,4,1016,C,7
2080,2023,1,11,CE101,Engineering Mechanics,4,1128,C,4
2026,2023,1,11,CE101,Engineering Mechanics,4,1156,D,4
2584,2023,1,11,CE101,Engineering Mechanics,4,1382,A,6
2377,2023,1,11,CE101,Engineering Mechanics,4,1133,B,4
3259,2023,1,11,CE101,Engineering Mechanics,4,1144,F,4
3268,2023,1,11,CE101,Engineering Mechanics,4,1321,C,7
2359,2023,1,11,CE101,Engineering Mechanics,4,1371,P,5
3664,2023,1,11,CE101,Engineering Mechanics,4,1125,B,5
2341,2023,1,11,CE101,Engineering Mechanics,4,1057,B,4
2179,2023,1,11,CE101,Engineering Mechanics,4,1168,B,6
